id,phrase,nbsyllabe
850,Se connaître reste un mystère,7
851,L âme est plus vaste que le corps,7
852,Le coeur a ses raisons,6
853,L esprit s envole où il veut,7
854,La pensée traverse les murs,7
855,Le rêve dépasse le réel,7
856,L imagination n a pas de bornes,9
857,Le souvenir embellit tout,8
858,L oubli efface les peines,6
859,Le pardon libère le coeur,7
860,La haine ronge celui qui la garde,8
861,La colère brûle plus qu elle ne rend,8
862,La patience finit par payer,8
863,Le silence en dit long parfois,8
864,Le bruit fatigue plus qu il n inspire,8
865,Le sommeil restaure l esprit,7
866,Le réveil ramène les soucis,8
867,Le matin offre ses promesses,7
868,La nuit garde ses secrets,6
869,Le café tiède attend sur le comptoir,10
870,Le journal traîne sur la table,7
871,La pendule sonne neuf heures,6
872,Le métro s engouffre dans le tunnel,9
873,Les passagers fixent leurs téléphones,9
874,Une dame lit son roman,6
875,Un enfant pleure dans le wagon,8
876,Le bus roule dans la grande avenue,9
877,Les klaxons cassent le matin,7
878,Les feux passent au rouge,5
879,Une moto file entre les voitures,8
880,Le marchand crie ses tomates,7
881,Le pain frais sort de la boutique,8
882,La boulangère sourit aux clients,9
883,Le facteur dépose le courrier,8
884,La concierge balaie le trottoir,8
885,Les écoliers traversent le passage,9
886,Une vieille dame promène son chien,7
887,Le pigeon picore les miettes,7
888,Le moineau saute sur le banc,7
889,Une feuille morte vole au vent,6
890,Le caniveau gargouille sous la pluie,9
891,Les flaques reflètent les façades,7
892,Le réverbère s allume au crépuscule,10
893,Les vitrines s illuminent,6
894,Le néon clignote au bar du coin,9
895,Le bistrot accueille les habitués,9
896,Le serveur connaît les commandes,8
897,Le verre tinte sur le comptoir,7
898,La fumée monte vers le plafond,8
899,Une chanson passe à la radio,8
900,Le vieil homme tape la mesure,7
901,Une femme rit aux éclats,6
902,Un couple discute à voix basse,7
903,Le musicien sort sa guitare,8
904,Une mélodie monte dans la salle,8
905,Les pieds tapent en rythme,5
906,Les mains battent au refrain,6
907,La fête se prolonge dans la nuit,8
908,Les lumières dansent au plafond,7
909,La piste vibre sous les pas,6
910,Les corps se cherchent en cadence,7
911,Une étrangère me sourit,7
912,Je tends la main pour danser,7
913,Elle accepte sans hésiter,7
914,Nous tournons sous les guirlandes,7
915,Le temps suspend son cours,6
916,Le monde disparaît autour,7
917,Plus rien n existe que cet instant,8
918,Le train siffle dans la gare,6
919,Les rails luisent sous la pluie,6
920,Un nuage de vapeur s élève,7
921,La locomotive ronfle au quai,8
922,Le contrôleur valide les billets,9
923,Les voyageurs cherchent leurs places,7
924,Une valise tombe dans le couloir,8
925,Le wagon s ébranle doucement,8
926,Les paysages défilent par la fenêtre,10
927,Les champs s étendent à perte de vue,8
928,Les villages se succèdent,6
929,Un château pointe sur la colline,8
930,Le clocher domine les toits,7
931,Les vaches paissent dans les prés,6
932,Le tournesol suit le soleil,8
933,Les meules ponctuent les champs,6
934,Le tracteur trace ses sillons,7
935,Le paysan rentre du labour,8
936,Sa femme l attend au pas de la porte,9
937,Le repas fume sur la table,7
938,La soupe sent bon les légumes,7
939,Le vin rouge coule dans le verre,7
940,Le pain rompu passe de main en main,9
941,La conversation s anime,7
942,Les rires fusent autour de la table,8
943,Les enfants chahutent dans le jardin,9
944,Le grand-père raconte ses histoires,8
945,La grand-mère tricote à côté du poêle,10
946,Le chat ronronne sur ses genoux,8
947,Le chien dort près de la cheminée,9
948,Les bûches craquent dans le feu,6
949,Les flammes lèchent la suie,5
950,La nuit enveloppe la maison,8
951,Une étoile pointe à la fenêtre,8
952,Le silence règne dans la campagne,8
953,Le hibou hulule au loin,7
954,Le coq chante avant l aube,6
955,Le matin se lève sur la ferme,8
956,Les poules sortent du poulailler,7
957,Le canard se dandine vers la mare,9
958,Le berger rassemble ses moutons,8
959,Les cloches sonnent l angélus,6
960,Le curé balaie son église,8
961,La place du village s anime,7
962,Le marché monte ses étals,7
963,Les fromages embaument l air frais,7
964,Les tomates rougissent sur l étal,8
965,Le poissonnier crie ses sardines,8
966,La fleuriste arrange ses bouquets,8
967,Le boucher tranche son jambon,7
968,Le café propose ses croissants,8
969,Une grand-mère sirote son thé,7
970,Un retraité joue aux échecs,8
971,Une jeune fille attend son ami,8
972,Le soleil chauffe la terrasse,7
973,Les pigeons picorent près du banc,8
974,Une fontaine murmure au centre,7
975,Le platane offre son ombre,6
976,Les tilleuls embaument la rue,7
977,Le carillon sonne midi,7
978,Le déjeuner approche,6
979,Les volets se ferment pour la sieste,9
980,La ville s endort sous le soleil,8
981,Tout repose jusqu à seize heures,6
982,Le commerçant rouvre sa boutique,8
983,Les enfants reprennent l école,7
984,Le boulanger enfourne le pain,8
985,La rue retrouve son agitation,9
986,Le soir tombe sur la campagne,7
987,Les ombres s allongent dans la cour,7
988,Une lampe s allume à la fenêtre,8
989,Quelqu'un attend que je rentre,7
990,Je presse le pas dans les ruelles,7
991,La porte s ouvre sur la lumière,7
992,Une voix m accueille en souriant,7
993,Je dépose mon manteau humide,8
994,Le feu réchauffe mes mains glacées,8
995,Le souper attend sur la table,8
996,Nous mangeons en parlant peu,7
997,La conversation s installe ensuite,9
998,Nous rions de nos journées,6
999,Le sommeil nous gagne enfin,7
1000,Les draps frais accueillent nos corps,7
1001,Une lampe veille sur la chambre,6
1002,Un livre attend sur le chevet,8
1003,Je lis quelques pages avant de dormir,9
1004,Les mots m emportent vers les rêves,7
1005,Mes paupières se ferment doucement,9
1006,La nuit m enveloppe enfin,7
1007,Mes songes prennent leur envol,6
1008,Je traverse des paysages étranges,9
1009,Je vole au-dessus des nuages,7
1010,Je nage dans des mers profondes,7
1011,Je gravis des montagnes immenses,8
1012,Je rencontre des inconnus aimables,9
1013,Une voix me chuchote des secrets,8
1014,Une main m indique le chemin,7
1015,Le rêve se brouille au matin,7
1016,Je m éveille avec des images,8
1017,Le souvenir s estompe peu à peu,9
1018,Le café noir ramène à la réalité,12
1019,Une nouvelle journée commence,7
1020,Le travail attend au bureau,8
1021,Les emails s accumulent,6
1022,Le téléphone sonne sans cesse,7
1023,Les réunions s enchaînent,6
1024,Midi arrive trop vite,6
1025,Le déjeuner se prend rapidement,10
1026,L après-midi traîne en longueur,8
1027,Cinq heures sonnent enfin,5
1028,La sortie libère du bureau,8
1029,Le métro me ramène chez moi,8
1030,La ville s anime après le travail,9
1031,Les terrasses se remplissent,6
1032,Les amis se retrouvent autour d un verre,10
1033,Les conversations vont bon train,8
1034,Le soleil descend sur les toits,8
1035,Le ciel rose annonce la nuit,7
1036,Les premières étoiles paraissent,7
1037,Les lampadaires s allument,6
1038,La ville passe en mode soir,6
1039,Les cinémas affichent leurs films,8
1040,Les théâtres ouvrent leurs portes,6
1041,Les restaurants accueillent les clients,9
1042,Une queue se forme à l entrée du bar,9
1043,La musique s échappe des fenêtres,8
1044,Les jeunes rient sur les places,6
1045,Les couples flânent main dans la main,7
1046,Le quai de Seine attire les promeneurs,9
1047,Les bouquinistes ferment leurs caisses,8
1048,Une péniche glisse sous le pont,7
1049,Notre-Dame veille sur l île,6
1050,Le Louvre sommeille dans le noir,7
1051,La tour Eiffel scintille toutes les heures,9
1052,Montmartre se vide de touristes,7
1053,Le Sacré-Coeur domine la nuit,8
1054,Les musiciens ramassent leurs étuis,9
1055,Les marchands plient bagage,6
1056,La ville ralentit son rythme,7
1057,Les restaurants commandent leurs derniers plats,10
1058,Le métro fait ses dernières rotations,10
1059,Les noctambules traînent dans les rues,8
1060,Quelques fenêtres restent éclairées,7
1061,Un musicien joue sur le pont des Arts,10
1062,Sa mélodie traverse la Seine,8
1063,Une amoureuse jette une pièce,7
1064,Son ami lui glisse un baiser,8
1065,La nuit parisienne devient magique,9
1066,Tout semble possible dans cette ville,7
1067,Un poème s écrit chaque seconde,8
1068,Le passé hante chaque rue,6
1069,Hugo a vécu rue de Sévigné,10
1070,Verlaine a bu à Saint-Sulpice,8
1071,Rimbaud a déambulé sur les quais,10
1072,Apollinaire a aimé sous Mirabeau,11
1073,Baudelaire a chanté ses fleurs,8
1074,Mallarmé a rêvé son tombeau,9
1075,Mon coeur s emballe quand tu approches,8
1076,Je tremble sous ton regard,6
1077,Je rougis comme une enfant,7
1078,Tu rougis comme un adolescent,9
1079,Mes mains moites trahissent l émotion,8
1080,Mes joues brûlent malgré le froid,7
1081,Mon estomac se noue d angoisse,8
1082,Mes jambes flageolent sous moi,6
1083,Je perds le souffle quand tu parles,7
1084,Tu cherches mes yeux dans la foule,7
1085,Je détourne le regard timidement,10
1086,Tu insistes avec un sourire,8
1087,Je cède à ton charme subtil,7
1088,Tu prends ma main avec douceur,8
1089,Je laisse mon coeur s emballer,7
1090,Tu murmures mon prénom à mon oreille,10
1091,Je frissonne malgré moi,6
1092,Tu me serres contre toi,5
1093,Je m abandonne dans tes bras,7
1094,Le monde autour cesse d exister,8
1095,Plus rien ne compte que toi,6
1096,Tes lèvres trouvent les miennes,5
1097,Le baiser dure une éternité,9
1098,Je rouvre les yeux émerveillée,8
1099,Tu me regardes avec tendresse,8
1100,Nos respirations s harmonisent,8
1101,Le silence devient complice,7
1102,Tu murmures je t aime à voix basse,8
1103,Je réponds par un sourire,7
1104,Tu insistes avec plus de force,8
1105,Je cède enfin et te dis je t aime,9
1106,La nuit nous bénit de son ombre,8
1107,Nous nous endormons enlacés,8
1108,L aube nous trouve toujours unis,7
1109,Le matin chante notre amour,7
1110,Le café se boit en silence,8
1111,Nos regards se croisent sans cesse,7
1112,Un sourire suffit à tout dire,8
1113,Une caresse remplace les mots,7
1114,Notre intimité s épanouit,8
1115,Les jours coulent comme du miel,6
1116,Les mois passent sans qu on les compte,7
1117,Les années construisent notre histoire,8
1118,Les enfants viennent agrandir la famille,10
1119,Le premier pleure dans ses langes,7
1120,La seconde sourit déjà,7
1121,Le troisième dort paisiblement,8
1122,Les nuits blanches nous épuisent,6
1123,Les premiers pas nous émerveillent,8
1124,Les premiers mots nous bouleversent,8
1125,L école commence trop tôt,6
1126,Les devoirs finissent jamais,7
1127,Les vacances nous rendent à nous,7
1128,La plage nous accueille en juillet,8
1129,Les châteaux de sable s effondrent,7
1130,Les enfants pleurent leurs efforts perdus,9
1131,Une glace les console aussitôt,8
1132,La pluie gâche parfois la journée,8
1133,Les jeux de société sortent du placard,10
1134,Les rires reprennent vite le dessus,8
1135,Le soir ramène le calme,6
1136,Les enfants s endorment épuisés,8
1137,Les parents se retrouvent enfin,8
1138,Un verre de vin clôture la journée,9
1139,Nous parlons à voix basse,6
1140,Nous rions de nos folies,6
1141,Nous nous aimons toujours autant,8
1142,L amour vieillit avec douceur,8
1143,La complicité grandit chaque jour,9
1144,Les souvenirs s accumulent,7
1145,Les albums se remplissent de photos,9
1146,Les enfants grandissent sans qu on s en aperçoive,11
1147,Le premier part en internat,8
1148,La seconde entre au lycée,7
1149,Le troisième perd ses dents de lait,8
1150,La maison se vide peu à peu,8
1151,Le silence s installe parfois,7
1152,Les chambres restent fermées,5
1153,Les jouets dorment dans les cartons,7
1154,Les vêtements deviennent trop petits,9
1155,On donne à des familles plus pauvres,8
1156,Les voitures se succèdent à la porte,9
1157,Les amis viennent et repartent,7
1158,Les fêtes ponctuent les saisons,7
1159,Noël ramène toute la famille,8
1160,Pâques nous rassemble autour des oeufs,8
1161,L été nous réunit en Bretagne,9
1162,La Toussaint nous mène au cimetière,9
1163,Les fleurs remplacent les paroles,7
1164,Le souvenir des disparus pèse,9
1165,Mais la vie continue sans eux,8
1166,Nos parents vieillissent doucement,8
1167,Leurs cheveux blanchissent avec grâce,8
1168,Leurs gestes deviennent plus lents,6
1169,Leur sagesse grandit à mesure,8
1170,Les enfants leur rendent visite,7
1171,Les petits-enfants les émerveillent,9
1172,Les histoires se transmettent ainsi,8
1173,Les recettes passent de génération,9
1174,Les valeurs traversent les âges,7
1175,L amour reste le plus précieux,7
1176,Le travail occupe nos journées,8
1177,La passion guide nos efforts,7
1178,Les projets nourrissent nos espoirs,8
1179,Les échecs nous apprennent l humilité,10
1180,Les succès nous donnent la force,7
1181,Les amis partagent nos peines,7
1182,Les amis célèbrent nos joies,7
1183,La famille reste notre socle,6
1184,L amour donne sens à tout,6
1185,La foi soutient les croyants,7
1186,La nature apaise les âmes,7
1187,Les arts élèvent l esprit,6
1188,La musique adoucit les moeurs,8
1189,La poésie chante l invisible,8
1190,La peinture fixe l instant,6
1191,La danse libère le corps,6
1192,La sculpture défie le temps,7
1193,Le théâtre interroge le réel,9
1194,Le cinéma raconte nos vies,8
1195,La photographie capte le présent,9
1196,La littérature explore l humain,9
1197,Chaque art nous parle autrement,7
1198,Chaque oeuvre nous transforme,5
1199,Une chanson change parfois une vie,8
1200,Un poème console une douleur,8
1201,Un tableau ouvre une fenêtre,7
1202,Un film révèle ce qu on cache,7
1203,Une statue défie la mort,7
1204,Un livre devient un ami,7
1205,L art est une autre forme de vie,7
1206,Sans art le monde serait pauvre,7
1207,Sans amour la vie serait vide,8
1208,Sans espoir nous serions perdus,8
1209,L espoir reste notre dernier refuge,8
1210,L amour reste notre plus belle ressource,8
1211,La vie reste un mystère sublime,8
1212,La mort reste un seuil incertain,8
1213,Personne ne sait ce qu il y a après,10
1214,Certains croient en un autre monde,7
1215,D autres pensent qu il n y a rien,6
1216,Peu importe ce qu on croit,6
1217,Ce qui compte c est de vivre pleinement,9
1218,De savourer chaque instant,7
1219,De goûter chaque expérience,7
1220,D aimer ceux qui nous entourent,7
1221,De pardonner les erreurs,7
1222,D apprendre de nos chutes,5
1223,De se relever toujours,7
1224,De marcher vers la lumière,7
1225,De ne pas céder au désespoir,9
1226,De chercher la beauté partout,8
1227,De partager ce que l on a,8
1228,De donner sans rien attendre,7
1229,De recevoir avec gratitude,9
1230,De rendre grâce chaque jour,5
1231,La gratitude transforme la vie,8
1232,La compassion ouvre les coeurs,7
1233,La sagesse vient avec l âge,7
1234,La paix se conquiert chaque jour,7
1235,Le bonheur se cultive avec soin,9
1236,L avion décolle au lever du jour,9
1237,Les nuages glissent sous l aile,5
1238,Le tarmac fume sous le soleil,8
1239,Une hôtesse sourit aux passagers,9
1240,Le pilote annonce notre cap,7
1241,Le repas arrive sur un plateau,9
1242,Les écrans diffusent un film,7
1243,Le hublot encadre l infini,8
1244,Une étoile filante traverse,7
1245,Les heures s étirent dans le ciel,7
1246,L atterrissage me secoue doucement,10
1247,La piste défile à toute allure,8
1248,Le pays nouveau m attend,7
1249,Une langue inconnue m accueille,7
1250,Les odeurs me transportent aussitôt,9
1251,Le marché grouille de monde,6
1252,Les épices colorent les étals,8
1253,Les fruits exotiques m intriguent,7
1254,Une vendeuse me tend un échantillon,10
1255,Je goûte sans hésiter,6
1256,La saveur m emporte au loin,7
1257,Le souvenir reste à jamais,8
1258,Les ruelles serpentent sans plan,6
1259,Je me perds avec délice,7
1260,Une mosquée pointe au détour,7
1261,Une église romane apparaît,8
1262,Un temple ancien dort dans les rochers,9
1263,Les pierres millénaires me parlent,7
1264,Les fresques racontent des batailles,7
1265,Les colonnes brisées défient le temps,9
1266,Les statues mutilées émeuvent,8
1267,Une civilisation a vécu ici,11
1268,Une autre est venue puis partie,8
1269,Une troisième s y est installée,8
1270,Et l Histoire poursuit sa marche,7
1271,Les empires montent et tombent,6
1272,Les rois passent et meurent,5
1273,Les peuples résistent ou s effondrent,7
1274,Les traditions perdurent malgré tout,9
1275,Les langues évoluent sans cesse,7
1276,Les cultures se mélangent,6
1277,Le métissage enrichit le monde,9
1278,La diversité est notre force,8
1279,L unité dans la différence,8
1280,Voilà l idéal humain,7
1281,Mais la guerre vient tout détruire,7
1282,Les hommes oublient leurs leçons,7
1283,Les bombes pleuvent sur les villes,6
1284,Les enfants meurent sans raison,7
1285,Les mères pleurent leurs fils,5
1286,Les pères enterrent leurs filles,6
1287,Les survivants errent hagards,7
1288,Les ruines fument encore,5
1289,Le silence pèse comme du plomb,7
1290,Un oiseau tente une mélodie,8
1291,Une fleur perce le béton,6
1292,La vie reprend ses droits,6
1293,Les gens reconstruisent leurs maisons,8
1294,Les enfants retournent à l école,8
1295,Les parents reprennent le travail,8
1296,L humanité continue malgré tout,10
1297,Mais les blessures restent profondes,7
1298,Le traumatisme se transmet,7
1299,Les cauchemars hantent les nuits,7
1300,Les souvenirs reviennent sans crier gare,10
1301,Une odeur ranime la peur,7
1302,Un bruit relance l angoisse,6
1303,Les vieillards se taisent souvent,7
1304,Ils gardent leurs secrets pour eux,7
1305,Mais les mots finissent par sortir,8
1306,Les témoignages éclairent le passé,9
1307,Les jeunes écoutent attentivement,9
1308,Pour ne jamais oublier,7
1309,Pour qu un tel drame ne revienne pas,8
1310,La paix reste notre bien le plus précieux,9
1311,La paix demande nos efforts constants,9
1312,La paix se construit chaque jour,7
1313,Par chaque geste de bonté,6
1314,Par chaque parole d amour,6
1315,Par chaque pardon offert,6
1316,Par chaque main tendue,5
1317,Par chaque sourire échangé,7
1318,La paix commence en chacun de nous,9
1319,Elle rayonne ensuite autour,7
1320,Elle gagne nos familles,5
1321,Elle s étend à nos voisins,7
1322,Elle traverse les frontières,6
1323,Un jour peut-être elle gagnera tout,9
1324,Mais ce jour reste lointain,6
1325,En attendant nous faisons ce qu on peut,10
1326,Chacun à son humble échelle,7
1327,Le poète écrit sa partition,9
1328,Le musicien compose son chant,8
1329,Le peintre brosse sa toile,5
1330,Le médecin soigne les malades,7
1331,L enseignant forme les esprits,7
1332,Le boulanger nourrit les ventres,8
1333,Le pompier sauve des vies,6
1334,Le paysan cultive la terre,8
1335,Chacun contribue à sa manière,9
1336,Aucun rôle n est insignifiant,8
1337,Toute oeuvre humaine a sa valeur,8
1338,Toute vie compte également,7
1339,Le pauvre vaut le riche,5
1340,L ignorant vaut le savant,7
1341,L étranger vaut le natal,7
1342,La femme vaut l homme,4
1343,L enfant vaut l adulte,5
1344,Le vieux vaut le jeune,5
1345,Le malade vaut le bien-portant,8
1346,Tous égaux devant le mystère,8
1347,Tous égaux devant la mort,7
1348,Tous égaux devant l amour,7
1349,Tous égaux devant la beauté,8
1350,La grandeur de l homme tient en peu,8
1351,Sa capacité d aimer,7
1352,Sa capacité de créer,8
1353,Sa capacité de pardonner,9
1354,Sa capacité de comprendre,8
1355,Sa capacité de résister,9
1356,Sa capacité d espérer,8
1357,Sans espoir il dépérit,7
1358,Sans amour il s éteint,6
1359,Sans création il s ennuie,7
1360,Sans pardon il s aigrit,6
1361,Sans compréhension il se ferme,8
1362,Sans résistance il se soumet,8
1363,Toutes ces qualités font sa valeur,9
1364,Cultivons-les ensemble chaque jour,8
1365,Le jour se lève sur la mer,7
1366,Une lumière rose teinte le ciel,7
1367,Les premiers oiseaux saluent l aube,8
1368,Le pêcheur range ses filets,7
1369,Sa barque tire sur l ancre,5
1370,Une mouette plonge sur un poisson,7
1371,Le port s éveille lentement,7
1372,Les marins chargent leurs caisses,6
1373,Les commères discutent au lavoir,8
1374,Une cloche tinte au village,6
1375,Le boulanger sort ses fournées,8
1376,Le facteur enfourche son vélo,8
1377,La poste ouvre ses portes,5
1378,Les écoliers traînent les pieds,7
1379,Le maître les attend déjà,7
1380,La leçon commence à huit heures,8
1381,La récréation libère les enfants,10
1382,Les billes roulent sur la cour,6
1383,Les cordes à sauter claquent,6
1384,Les rires emplissent l école,6
1385,La cloche rappelle en classe,6
1386,Les enfants rentrent en rang,6
1387,Le calme revient peu à peu,7
1388,La leçon de calcul commence,8
1389,Les chiffres dansent au tableau,6
1390,Une élève lève la main,6
1391,Le maître lui sourit,5
1392,Elle propose la bonne réponse,7
1393,La cloche annonce midi enfin,8
1394,Les enfants courent à la cantine,8
1395,Les plateaux glissent sur les rails,7
1396,Le ciel pleure sur la terre,6
1397,La terre boit avec gratitude,8
1398,Les graines germent en silence,6
1399,Les pousses percent le sol noir,6
1400,Le printemps éclate partout,7
1401,Les bourgeons gonflent jour après jour,8
1402,Une feuille verte se déplie,6
1403,Une autre suit le même chemin,7
1404,L arbre se couvre de jeunes pousses,6
1405,Une fleur pointe son bouton,6
1406,Demain elle sera ouverte,7
1407,Une abeille butine déjà,7
1408,Le pollen vole dans l air doux,7
1409,Les éternuements éclatent partout,9
1410,L allergie n épargne personne,7
1411,Mais la beauté vaut bien ces peines,8
1412,Les jardins se parent de couleurs,9
1413,Les balcons fleurissent à leur tour,8
1414,Les jardinières débordent de pétunias,10
1415,Les géraniums rougissent de plaisir,9
1416,Les pensées clignent leurs yeux,6
1417,Les bégonias ondulent leurs feuilles,8
1418,Le jardinier soigne ses plates-bandes,8
1419,Sa pelouse n a pas une herbe folle,8
1420,Ses massifs respirent l harmonie,8
1421,Son tonneau récupère l eau de pluie,9
1422,Son compost nourrit la terre,7
1423,Ses légumes sortent du potager,8
1424,Les courgettes deviennent énormes,7
1425,Les tomates rougissent au soleil,8
1426,Les concombres pèsent sur leurs tiges,7
1427,Les haricots grimpent leurs rames,7
1428,Les pommes de terre se cachent sous terre,8
1429,Les carottes plongent leurs racines,7
1430,Les radis pointent leurs feuilles,6
1431,La salade tourne autour de son coeur,9
1432,Les fraises rougissent dans la paille,7
1433,Les framboises se piquent aux ronces,7
1434,Les groseilles brillent comme des perles,7
1435,Les cassis noircissent en grappes,7
1436,La récolte sera abondante,8
1437,Les confitures emplissent les bocaux,9
1438,Les pots s alignent sur l étagère,8
1439,L hiver retrouvera leurs saveurs,9
1440,Le souvenir de l été dans la cuiller,11
1441,Le pain frais sort du four chaud,7
1442,Le beurre fond sur la mie,6
1443,La confiture tartine généreusement,11
1444,Le café fume dans la tasse,7
1445,Le journal craque entre mes mains,7
1446,Les nouvelles ne sont pas bonnes,7
1447,Le monde se déchire encore,7
1448,Mais ici tout reste paisible,7
1449,Le merle siffle dans le pommier,7
1450,Le chat me regarde avec patience,9
1451,Il attend sa pâtée du matin,9
1452,Je lui sers son écuelle,6
1453,Il mange avec délicatesse,8
1454,Puis se lave longuement,6
1455,Il s installe ensuite au soleil,8
1456,Il ronronne de bien-être,6
1457,J envie sa simplicité,7
1458,Il vit dans l instant présent,7
1459,Sans soucis pour le futur,7
1460,Sans regrets pour le passé,7
1461,Quelle leçon nous donnent les bêtes,7
1462,Les humains se compliquent la vie,8
1463,Nous courons après mille chimères,8
1464,Nous oublions l essentiel,7
1465,Les choses simples nous rendent heureux,7
1466,Un sourire un repas un repos,9
1467,Une promenade un livre un ami,8
1468,Le bonheur n est pas si loin,7
1469,Il est juste là à portée de main,9
1470,Il nous suffit de l accueillir,8
1471,La nuit recouvre le village,7
1472,Les fenêtres s éteignent une à une,8
1473,La rue s endort sous les étoiles,8
1474,Un chat traverse furtivement,8
1475,Une chouette ulule au clocher,7
1476,Le silence devient palpable,7
1477,Seul le vent murmure encore,7
1478,Les feuilles bruissent doucement,6
1479,La fontaine continue de couler,9
1480,L horloge sonne minuit,5
1481,Une étoile filante traverse,7
1482,Un voeu silencieux s envole,7
1483,Le ciel s ouvre sur l infini,7
1484,Mille soleils brillent là-haut,6
1485,Chacun porte ses planètes,6
1486,Chacune abrite peut-être la vie,8
1487,Sommes-nous seuls dans l univers,7
1488,La question reste sans réponse,7
1489,Pour le moment nous restons seuls,8
1490,Et nous regardons les étoiles,8
1491,En rêvant à des contacts,7
1492,En espérant des messages,7
1493,En cherchant des signaux,6
1494,Mais le silence persiste,6
1495,Le cosmos garde son mystère,7
1496,La science avance pas à pas,7
1497,Chaque découverte ouvre un mystère,8
1498,Plus nous savons plus l ignorance grandit,10
1499,L univers est vraiment immense,8
1500,L humanité est si petite,8
1501,Mais nous portons en nous l infini,9
1502,Notre conscience embrasse les étoiles,8
1503,Notre pensée traverse les âges,7
1504,Notre amour rayonne loin,6
1505,Notre art défie le temps,6
1506,Notre science explore l inconnu,7
1507,Voilà notre grandeur secrète,7
1508,Voilà ce qui rend l homme unique,8
1509,Pas par sa force ni sa taille,7
1510,Mais par la profondeur de son être,9
1511,La conscience est le grand miracle,8
1512,L amour est le plus pur mystère,8
1513,L art est l écho de l infini,8
1514,La pensée est notre privilège,8
1515,Cultivons ces dons précieux,7
1516,Transmettons-les à nos enfants,8
1517,Confions-les aux générations,8
1518,Pour que l humanité grandisse,8
1519,Pour que la lumière l emporte,7
1520,Pour que la beauté demeure,7
1521,Le matin tend ses doigts roses,7
1522,La nuit s efface lentement,7
1523,Les étoiles cèdent au soleil,7
1524,L aurore parsème le ciel d or,7
1525,Les oiseaux saluent le jour,7
1526,Le coq lance son cri de victoire,8
1527,La rosée trempe les herbes,6
1528,La toile d araignée scintille,7
1529,Une libellule sort de son rêve,8
1530,Une fleur s éveille dans le pré,7
1531,Un bourdon ronfle déjà,6
1532,Le soleil monte à l horizon,8
1533,Sa chaleur réveille la terre,7
1534,Les couleurs reviennent au monde,7
1535,Le vert des feuilles s épanouit,7
1536,Le bleu du ciel s approfondit,8
1537,Le rouge des fleurs flamboie,6
1538,Le jaune des blés ondule,6
1539,Le brun des champs se réchauffe,7
1540,Le gris des pierres s adoucit,7
1541,Le noir des arbres s éclaircit,7
1542,La vie palpite dans chaque atome,8
1543,Le souffle anime tout le vivant,8
1544,La sève circule dans les troncs,7
1545,Le sang bat dans les veines,6
1546,Le coeur tambourine dans la poitrine,9
1547,Les poumons aspirent l air pur,7
1548,Les yeux boivent la lumière,6
1549,Les oreilles captent les chants,6
1550,Le nez respire les parfums,7
1551,La peau frémit aux caresses,7
1552,La langue savoure les saveurs,7
1553,Tous les sens s éveillent ensemble,7
1554,Le corps célèbre la vie,6
1555,Comment ne pas crier de joie,8
1556,Comment ne pas chanter merci,8
1557,Le brouillard étouffe les contours,8
1558,Une silhouette glisse dans la rue,7
1559,Un fantôme peut-être ou un homme,8
1560,La nuit confond les apparences,8
1561,Les ombres prennent vie parfois,6
1562,Les vieilles maisons racontent,6
1563,Leurs murs portent mille histoires,6
1564,Les escaliers grincent sans raison,8
1565,Une porte claque derrière soi,6
1566,Une lampe vacille seule,5
1567,Un courant d air glace la nuque,7
1568,Une voix murmure dans la cave,7
1569,Personne pourtant n est là,6
1570,Le coeur s emballe dans la poitrine,8
1571,La raison cherche une explication,9
1572,Mais le mystère résiste,6
1573,L imagination prend le relais,9
1574,Les contes anciens reviennent,6
1575,Les esprits hantent les manoirs,7
1576,Les sorcières vivent dans les bois,7
1577,Les loups-garous courent les landes,7
1578,Les vampires sucent le sang,6
1579,Les démons tentent les âmes,6
1580,Les anges veillent en secret,6
1581,Les saints supplient au ciel,6
1582,La Vierge protège ses enfants,7
1583,Le Christ tend les bras à tous,7
1584,La foi soulève les montagnes,7
1585,La prière monte vers les cieux,7
1586,L encens parfume les nefs,6
1587,Les cloches sonnent les vêpres,5
1588,Les chants emplissent les chapelles,7
1589,Les pèlerins marchent vers Compostelle,9
1590,Leurs bourdons résonnent sur les pavés,9
1591,Leurs coquilles brillent au soleil,7
1592,Leurs jambes peinent sur les pentes,6
1593,Mais leur foi soutient leurs pas,7
1594,Un calvaire jalonne le chemin,8
1595,Une chapelle accueille le pèlerin,9
1596,Une source rafraîchit son corps,7
1597,Un aubergiste lui sert un repas,9
1598,Une moniale lui offre l hospitalité,10
1599,Le voyage purifie l âme,7
1600,Chaque pas est une prière,6
1601,Chaque effort une offrande,6
1602,Au bout du chemin la cathédrale,9
1603,Les hauts murs s élancent vers Dieu,7
1604,Les voûtes ouvrent leurs bras,5
1605,Les vitraux racontent l Évangile,8
1606,La rosace explose en couleurs,8
1607,L orgue gronde sa louange,4
1608,Les chants résonnent dans la nef,7
1609,Le pèlerin s agenouille en larmes,9
1610,Sa quête trouve son couronnement,8
1611,Sa peine prend tout son sens,6
1612,Sa foi se renouvelle entièrement,10
1613,Il repart transformé chez lui,8
1614,Plus pauvre en biens matériels,7
1615,Plus riche en biens spirituels,7
1616,Le voyage l a métamorphosé,9
1617,La grâce a touché son coeur,7
1618,La vieillesse arrive à pas feutrés,9
